,words,count,document,No. of webpages
0,Aa,"3,1,3","66,79,93",3
1,Aac,1,85,1
2,Aba,"1,1","25,89",2
3,Ability,"1,1,1,1,1,1,1,1,2","7,11,25,28,69,78,81,89,115",9
4,Able,"1,1,1,1,1,1","2,20,50,52,79,82",6
5,About,"2,1,1,4,1,1,2,1,3,4,5,2,4,2,3,3,4,2,3,3,1,3,2,4,2,3,4,2,1,4,4,7,5,1,1,1,1,1,1,1,1,5,15,5,1,3,8,9,2,1,2,2,7,2,1,2,1,2,1,2,2,4,3,6,2,2,2,1,5,1,4,1,2,3,2,3,6,4,1,1,3,2,6,9,2,2,3,1,2,1,3,2,2,1,4,1,4","1,2,3,4,5,6,7,8,9,10,12,13,15,17,18,19,20,21,22,23,24,25,26,27,29,31,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,75,77,78,79,80,81,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,105,108,109,110,111,112,113,115,116",97
6,Aboutpresscopyrightcontact,1,106,1
7,Above,1,9,1
8,Abroad,2,58,1
9,Abstract,1,19,1
10,Abuse,"1,1","21,99",2
11,Acad,2,58,1
12,Academia,"1,1,1","19,72,115",3
13,Academic,"2,5,6,1,5,5,1,5,7,5,5,9,5,5,6,5,5,5,6,5,6,6,5,5,5,5,5,1,8,5,5,5,8,5,5,5,5,5,18,11,11,5,7,5,6,6,5,13,6,5,9,5,5,5,5,7,5,5,6,5,5,5,19,5,1,2,8,1,8,6,10,8,6,6,6,5,5,7,6,5,19,6,5,5,5,6,1,5,5,5,5,1,5,8,7,5","1,2,3,4,5,6,7,8,9,10,12,13,15,17,18,19,20,21,22,23,24,25,26,27,29,31,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,77,78,79,80,81,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,104,105,108,109,110,111,112,113,115,116",96
14,Academically,1,49,1
15,Academics,"3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,8,3,7,3,3,3,3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3","2,3,5,6,8,9,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,77,80,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,105,108,109,110,112,113,115,116",89
16,Academy,"2,2,2,2,2","50,52,58,92,112",5
17,Acced,1,63,1
18,Accelerate,1,88,1
19,Accelerated,1,58,1
20,Accept,4,2,1
21,Acceptable,"3,1,1,1,1","9,16,30,66,93",5
22,Acceptance,"1,1,1,1","3,19,97,113",4
23,Acceptancecurriculumcity,"1,1","25,89",2
24,Accepted,"4,2,1,1,1","3,9,20,22,79",5
25,Accepting,"1,1","9,35",2
26,Accepts,"1,1","67,75",2
27,Access,"1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,1,4,2,2,5,1,1,1,2,4,1,1,1","2,6,10,19,26,37,39,40,46,49,54,58,60,65,67,69,74,77,80,82,87,88,90,95,96,97,109,113",28
28,Accessibility,"1,1","54,97",2
29,Accessible,"1,1,1,1,1","34,39,69,80,111",5
30,Accessing,1,4,1
31,Accident,1,42,1
32,Accidents,"2,2","42,58",2
33,Accommodate,"1,1","74,96",2
34,Accommodated,"1,1","59,84",2
35,Accommodations,"1,1","63,68",2
36,Accompany,1,67,1
37,Accomplished,1,82,1
38,Accomplishments,"1,1","33,36",2
39,According,"1,1,1,2","59,72,84,113",4
40,Accordingly,1,68,1
41,Account,"1,1,3,2,2,2,2,3,1,1,1,2,1,1","1,2,3,7,14,16,30,54,65,67,69,78,81,113",14
42,Accountability,1,58,1
43,Accountancy,"2,2,2,1,3,2","15,21,27,51,58,99",6
44,Accounting,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1","2,3,5,6,8,9,10,12,13,15,17,18,19,20,21,22,23,24,25,26,27,29,31,33,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,77,80,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,105,108,109,110,112,113,115,116",87
45,Accountinterlibrary,"1,1","26,95",2
46,Accounts,"1,2","1,64",2
47,Accountsnon,1,109,1
48,Accreditation,1,58,1
49,Accreditations,"2,2,2","4,34,111",3
50,Accredited,"1,4,4","3,34,111",3
51,Aces,1,82,1
52,Achieve,"1,1,1,3,1","9,17,74,82,96",5
53,Achievements,"1,1","38,62",2
54,Achieving,"1,1","33,36",2
55,Acknowledge,"1,1","16,30",2
56,Acknowledged,1,109,1
57,Acquire,1,56,1
58,Acquired,1,88,1
59,Acre,"1,1","92,112",2
60,Acres,2,82,1
61,Across,"1,1,1,1,2,1,2,3,1,1,3,1,6,2,1","12,15,22,27,33,34,36,38,47,54,62,72,82,101,111",15
62,Act,"1,1,1,1,7","3,35,53,58,115",5
63,Action,"1,2,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,3,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,3,2,2,2,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,5,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,6,2","1,2,3,4,5,6,8,9,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,77,80,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,105,108,109,110,111,112,113,115,116",93
64,Actions,"1,1,1,1","6,20,66,93",4
65,Activate,1,88,1
66,Activated,1,2,1
67,Active,"1,1,1,1","1,60,77,82",4
68,Actively,"1,1","82,100",2
69,Activities,"1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,1,3,1,2,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2","1,2,3,4,5,6,8,9,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,75,77,79,80,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,105,108,109,110,111,112,113,115,116",95
70,Activity,"1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","2,3,4,5,6,8,9,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,77,80,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,105,108,109,110,111,112,113,115,116",92
71,Actors,1,49,1
72,Acts,"4,1,1","6,88,115",3
73,Acumen,1,20,1
74,Ad,"3,1,1,3,3,1","7,46,53,78,81,82",6
75,Adapt,"1,1","39,80",2
76,Adaption,1,82,1
77,Add,"1,1,1,1,1","13,60,61,77,98",5
78,Adding,"1,1","12,82",2
79,Addition,"1,1,1","1,8,44",3
